ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE DE EDUCAÇÃO FÍSICA MONTENEGRO,FAEFM,BA,Privada,1,0,,
FACULDADE DE EDUCACAO MONTENEGRO,FAEM,BA,Privada,2,0,,
FACULDADE INTERAÇÃO AMERICANA,FIA,SP,Privada,4,4,211,3
FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE,FADILESTE,MG,Privada,5,1,210,3
CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE,CTESOP,PR,Privada,7,6,202,3
FACULDADES INTEGRADAS DE CASSILÂNDIA,FIC,MS,Privada,2,2,134,2
ESCOLA SUPERIOR DE ESTUDOS EMPRESARIAIS E INFORMÁTICA,ESEEI,PR,Privada,6,5,166,2
FACULDADE DE FILOSOFIA E CIÊNCIAS HUMANAS DE GOIATUBA,FAFICH,GO,Municipal,7,3,211,3
FACULDADE PRESBITERIANA GAMMON,FAGAMMON,MG,Privada,4,4,225,3
FACULDADES UNIDAS DO VALE DO ARAGUAIA,UNIVAR,MT,Privada,3,3,140,2
FACULDADE DE SÃO LOURENÇO,FASAMA,MG,Privada,5,5,217,3
FACULDADE DE CIENCIAS HUMANAS DO VALE DO RIO GRANDE,FCHVRG,SP,Privada,1,1,200,3
FACULDADE DE CIENCIAS ADMINISTRATIVAS DE CURVELO,FACIAC,MG,Privada,1,1,239,3
FACULDADES INTEGRADAS DE ARIQUEMES,FIAR,RO,Privada,6,4,147,2
FACULDADE DE CIENCIAS HUMANAS DE FORTALEZA,FCHFOR,CE,Privada,1,1,194,2
FACULDADE DE CIÊNCIAS TECNOLÓGICAS DE FORTALEZA,FCTFOR,CE,Privada,1,1,129,2
FACULDADE VITORIANA DE CIÊNCIAS CONTÁBEIS,FAVI,ES,Privada,1,0,,
FACULDADE VITORIANA DE TECNOLOGIA,FAVI,ES,Privada,1,1,209,3
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI,FATEB,SP,Municipal,7,4,185,2
FACULDADE DE AGRONOMIA E ENGENHARIA FLORESTAL DE GARÇA,FAEF,SP,Privada,2,2,175,2
FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA,FAC-FEA,SP,Privada,5,3,226,3
FACULDADE DE ADMINISTRACAO DE TERESINA,FAT,PI,Privada,2,2,180,2
FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS,FPPD,PI,Privada,1,1,105,2
FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,MG,Privada,1,1,413,5
FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA,FIAP,SP,Privada,5,4,283,3
CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,AP,Privada,7,4,167,2
FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE,FESCG,MS,Privada,9,9,209,3
FACULDADE DE INFORMÁTICA DE CUIABÁ,FIC,MT,Privada,1,1,122,2
FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PONTA PORÃ,FECLEPP,MS,Privada,3,1,249,3
FACULDADES UNIFICADAS DE FOZ DO IGUACU,UNIFOZ,PR,Privada,2,2,233,3
FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA,FESAV,ES,Privada,3,2,249,3
FACULDADE DE ESTUDOS SOCIAIS DE BARRA DO GARÇAS,FESB,MT,Privada,1,1,143,2
FACULDADE DE TECNOLOGIA DO VALE DO ARAGUAIA,FATEV,MT,Privada,1,1,101,2
FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU,FEPI,PR,Privada,3,1,203,3
FACULDADE DE CIÊNCIAS E TECNOLOGIA DO PARANÁ,FACET-PR,PR,Privada,1,0,,
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,IMESA,SP,Privada,7,5,191,2
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,IMESB,SP,Municipal,6,5,200,3
FACULDADE PAULISTA DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE HORTOLÂNDIA,FAPACCH,SP,Privada,3,3,204,3
ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO,EG,MG,Estadual,1,1,414,5
"FACULDADE BRASILEIRA DE CIÊNCIAS EXATAS, HUMANAS E SOCIAIS - FABRAI",FABRAI,MG,Privada,4,2,260,3
FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS SANTA RITA DE CÁSSIA,FACEAS,SP,Privada,4,0,,
FACULDADES INTEGRADAS DE RIO VERDE,FIRVE,MS,Privada,1,1,178,2
FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E DE TECNOLOGIA,FATEC,RO,Privada,4,3,140,2
FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SUMARÉ,FECGS,SP,Privada,4,2,190,2
FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE INDAIATUBA,FECGI,SP,Privada,5,3,224,3
FACULDADE ALAGOANA DE ADMINISTRACAO,FAA,AL,Privada,2,1,95,2
FACULDADE DE BELFORD ROXO,FABEL,RJ,Privada,1,1,202,3
FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS SANTA LÚCIA,FCACSL,SP,Privada,4,3,212,3
FACULDADES INTEGRADAS DE PARANAÍBA - FIPAR,FIPAR,MS,Privada,5,5,176,2
FACULDADE DE ADMINISTRAÇÃO DE FÁTIMA DO SUL,FAFS,MS,Privada,6,2,161,2
FACULDADE DE CIÊNCIAS HUMANAS E JURÍDICAS DE TERESINA,FCHJT,PI,Privada,10,5,248,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE NAVIRAI,FACINAV,MS,Privada,1,1,166,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE CASCAVEL,FCSAC,PR,Privada,6,6,223,3
FACULDADE DE CIÊNCIAS GERENCIAIS DE DRACENA,FCGD,SP,Privada,4,3,228,3
FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE SÃO ROQUE,FACCSR,SP,Privada,4,3,185,2
FACULDADE INTERLAGOS DE EDUCAÇÃO E CULTURA,FINTEC,SP,Privada,7,5,212,3
FACULDADE DE CIÊNCIAS GERÊNCIAIS DE VILHENA,FCGV,RO,Privada,1,1,218,3
FACULDADE DE EDUCAÇÃO DE ALTA FLORESTA,FEAFLOR,MT,Privada,2,1,115,2
FACULDADE CATÓLICA DE ANÁPOLIS,Católica de Anápolis,GO,Privada,1,1,255,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTA PORÃ,FCCPP,MS,Privada,1,1,223,3
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO D,ESPM,RJ,Privada,3,2,320,4
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,INCISOH,MG,Privada,6,1,199,3
UNIÃO DE ENSINO SUPERIOR DE NOVA MUTUM,UNINOVA,MT,Privada,4,2,162,2
FACULDADE DE CIÊNCIAS AGRO- AMBIENTAIS,FAGRAM,RJ,Privada,1,1,135,2
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS,FAFIL,PB,Privada,1,0,,
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ALTA FLORESTA,FACTERFLOR,MT,Privada,1,1,157,2
FACULDADE DE TECNOLOGIA DE TAQUARITINGA,FATEC/TQ,SP,Estadual,1,1,231,3
FACULDADES INTEGRADAS DE PONTA PORÃ,FIP,MS,Privada,4,2,148,2
FACULDADE SÃO CAMILO,,BA,Privada,3,1,207,3
FACULDADE PRUDENTE DE MORAES,FPM,SP,Privada,4,4,200,3
FACULDADE DE CIENCIAS E EDUCACAO DE RUBIATABA,FACER,GO,Privada,2,1,207,3
FACULDADE DE EDUCAÇÃO E CULTURA MONTESSORI,FAMEC,SP,Privada,3,3,183,2
ESCOLA SUPERIOR DE BIOLOGIA E MEIO AMBIENTE,ESMA,MG,Privada,1,1,198,3
FACULDADE SENAI-CETIQT,SENAI-CETIQT,RJ,Privada,2,2,268,3
FACULDADE DE SERVIÇO SOCIAL SANTA LUZIA,FSSSL,RJ,Privada,1,1,192,2
FACULDADE DE CIENCIAS ECONOMICAS DE BAURU,FCEB,SP,Privada,3,3,255,3
FACULDADE DE SERVIÇO SOCIAL DE BAURU,FSSB,SP,Privada,1,1,285,3
FACULDADE DE DIREITO DE BAURU,FDB,SP,Privada,1,1,275,3
FACULDADE DE FORMAÇÃO DE PROFESSORES DE AFOGADOS DA INGAZEIRA,FAFOPAI,PE,Municipal,4,2,174,2
FACULDADE SUDOESTE PAULISTANO,FASUP,SP,Privada,2,2,222,3
INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,SC,Privada,6,4,284,3
FACULDADE DE CIÊNCIAS HUMANAS DO VALE DO PIRANGA,FAVAP,MG,Privada,3,0,,
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,FACTU,MG,Privada,7,5,204,3
FACULDADE DE CIÊNCIAS DE TIMBAÚBA,FACET,PE,Privada,2,1,192,2
FACULDADE DE ECONOMIA E FINANCAS IBMEC,Faculdades Ibmec,RJ,Privada,2,2,433,5
UNIÃO DE ESCOLAS SUPERIORES DA FUNESO,UNESF,PE,Privada,9,7,164,2
FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,MS,Privada,12,6,205,3
UNIÃO DAS FACULDADES DOS GRANDES LAGOS - UNILAGO,UNILAGO,SP,Privada,16,9,219,3
FACULDADE CAMPOS ELISEOS,FCE,SP,Privada,1,1,316,4
INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,AM,Privada,6,6,170,2
FACULDADE DE CIÊNCIAS CONTÁBEIS - MACEIÓ,SEUNE,AL,Privada,3,2,141,2
FACULDADE ADVENTISTA DE ADMINISTRACAO DO NORDESTE,FAAD,BA,Privada,1,1,215,3
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE FEIRA DE SANTANA,FTC,BA,Privada,9,3,221,3
FACULDADE BAIANA DE CIÊNCIAS CONTÁBEIS,FMN BA,BA,Privada,3,3,237,3
FACULDADE LOURENÇO FILHO,FLF,CE,Privada,1,1,164,2
INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,IESB,DF,Privada,13,11,197,3
FACULDADE BATISTA DE VILA VELHA,FABAVI,ES,Privada,1,1,259,3
FACULDADE BATISTA DE VITORIA,FABAVI,ES,Privada,2,1,195,3
FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTRATIVAS DE VILA VELHA,,ES,Privada,1,1,219,3
INSTITUTO DE ENSINO E PESQUISA OBJETIVO,IEPO,TO,Privada,8,3,160,2
FACULDADE DE JUSSARA,FAJ,GO,Privada,2,2,157,2
FACULDADE ALDETE MARIA ALVES,FAMA,MG,Privada,4,3,121,2
INSTITUTO DE ENSINO SUPERIOR CENECISTA,INESC,MG,Privada,4,3,270,3
INSTITUTO DE ENSINO SUPERIOR DA FUNLEC,IESF,MS,Privada,6,5,232,3
FACULDADE AFIRMATIVO,FAFI,MT,Privada,6,3,119,2
INSTITUTO DE EDUCAÇÃO SUPERIOR DA PARAÍBA,IESP,PB,Privada,8,6,244,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE CAJAZEIRAS",FAFIC,PB,Privada,2,1,189,2
FACULDADE INTEGRADA DO RECIFE,FIR,PE,Privada,7,6,226,3
FACULDADE INTEGRADO DE CAMPO MOURÃO,CEI,PR,Privada,11,7,214,3
FACULDADE MARINGA,CESPAR,PR,Privada,4,3,181,2
FACULDADE ARTHUR SÁ EARP NETO,FASE,RJ,Privada,3,3,320,4
FACULDADE DE ENGENHARIA DE RESENDE,FER,RJ,Privada,2,1,205,3
FACULDADE CENECISTA DE BENTO GONÇALVES,FACEBG,RS,Privada,4,2,266,3
FACULDADE METODISTA DE SANTA MARIA,FAMES,RS,Privada,5,3,293,3
FACULDADE DE EDUCAÇÃO DE COLORADO DO OESTE,FAEC,RO,Privada,3,1,205,3
FACULDADES INTEGRADAS APARÍCIO CARVALHO,FIMCA,RO,Privada,10,2,144,2
CENTRO DE EDUCAÇÃO SUPERIOR - ÚNICA,UNICA,SC,Privada,2,1,229,3
FACULDADE SÃO LUÍS DE FRANÇA,FSLF,SE,Privada,2,2,141,2
FACULDADE DE PEDAGOGIA DE VARGEM GRANDE PAULISTA,,SP,Privada,2,1,173,2
FACULDADES INTEGRADAS DE BAURU,FIB,SP,Privada,7,5,222,3
FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE GARÇA,FAEG,SP,Privada,4,3,255,3
FACULDADE DE ADMINISTRACAO E NEGOCIOS DE MONTE ALTO,FAN,SP,Privada,1,1,288,3
FACULDADE DE PRESIDENTE EPITÁCIO - FAPE,FAPE,SP,Privada,4,2,163,2
FACULDADES INTEGRADAS DE SÃO PAULO,FISP,SP,Privada,5,2,196,3
FACULDADE DE EDUCACAO E CIENCIAS GERENCIAIS DE SAO PAULO,FECG-SP,SP,Privada,2,2,247,3
FACULDADE CARLOS DRUMMOND DE ANDRADE,FCDA,SP,Privada,4,4,196,3
FACULDADE DE ADMINISTRACAO SAO PAULO,FAPI,SP,Privada,1,1,174,2
FACULDADE INTEGRADA DO CEARÁ,FIC,CE,Privada,11,11,258,3
FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS APLICADAS RIO BRANCO - FIRB,FIRB,AC,Privada,3,3,136,2
FACULDADE SANTA TEREZINHA,CEST,MA,Privada,6,4,260,3
UNIÃO DAS ESCOLAS DO GRUPO FAIMI DE EDUCAÇÃO,FAIMI,SP,Privada,9,3,176,2
"FACULDADE PLANALTO DE FILOSOFIA, CIÊNCIAS E LETRAS",FACPLAN,DF,Privada,1,0,,
FACULDADE DE EDUCAÇÃO DE OSVALDO CRUZ,FEOCRUZ,SP,Privada,4,3,278,3
INSTITUTO DE EDUCACAO SUPERIOR UNYAHNA DE SALVADOR,IESUS,BA,Privada,3,2,252,3
INSTITUTO DE EDUCACAO SUPERIOR UNYAHNA DE BARREIRAS,IESUB,BA,Privada,2,2,249,3
FACULDADES INTEGRADAS ESPÍRITA,FIES,PR,Privada,11,9,190,2
FACULDADE METODISTA DE CIENCIAS HUMANAS E EXATAS,METODISTA,SP,Privada,2,2,189,2
FACULDADE SANTO AGOSTINHO,FSA,PI,Privada,9,5,262,3
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE IGARASSU,FACIG,PE,Privada,5,4,153,2
FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG,FEAD - MG,MG,Privada,5,1,227,3
FACULDADE GAMA E SOUZA,FGS,RJ,Privada,10,6,194,2
FACULDADES INTEGRADAS DE VITÓRIA,FDV,ES,Privada,2,2,365,4
FACULDADE DE EDUCAÇÃO SUPERIOR DE TIMBAÚBA,FAEST,PE,Privada,2,2,196,3
FACULDADE DE CIÊNCIAS HUMANAS,IMENSU,SP,Privada,4,3,148,2
FACULDADE DE CIÊNCIAS AGRÁRIAS DO PLANALTO CENTRAL,,DF,Privada,1,1,174,2
FACULDADE RUY BARBOSA DE PSICOLOGIA,FRBPSIC,BA,Privada,1,1,287,3
FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE,FANESE,SE,Privada,4,4,195,3
INSTITUTO DE ENSINO SUPERIOR DO PANTANAL,FSST,MS,Privada,3,2,147,2
FACULDADE CENECISTA DE ITABORAÍ,FACNEC,RJ,Privada,5,1,154,2
ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS,ESFA,ES,Privada,6,4,218,3
FACULDADE RUY BARBOSA DE CIÊNCIA DA COMPUTAÇÃO,FRBCC,BA,Privada,1,1,276,3
CENTRO DE ENSINO SUPERIOR DE VITÓRIA,CESV,ES,Privada,2,1,153,2
FACULDADE IBMEC SAO PAULO,Ibmec,SP,Privada,2,2,435,5
FACULDADE DE ADMINISTRACAO DE ALTA FLORESTA,FAFLOR,MT,Privada,1,1,113,2
FACULDADE METROPOLITANA DE CAMAÇARI,FAMEC,BA,Privada,10,5,128,2
FACULDADE AD 1,Unisaber,DF,Privada,4,3,125,2
FACULDADE JUSCELINO KUBITSCHEK,FJK,DF,Privada,7,3,175,2
FACULDADE DE SABARÁ,SOECS,MG,Privada,3,2,223,3
FACULDADES RIOGRANDENSES,FARGS,RS,Privada,4,3,271,3
FACULDADE BRASÍLIA DE SÃO PAULO,FABRASP,SP,Privada,4,2,189,2
INSTITUTO DE ENSINO SUPERIOR DE AMERICANA,IESA,SP,Privada,2,1,156,2
FACULDADE INTEGRAL CANTAREIRA,F.I.C.,SP,Privada,5,4,232,3
INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,IESF,CE,Privada,1,1,221,3
FACULDADE DE CIÊNCIAS DA SAÚDE DE SÃO PAULO,FACIS,SP,Privada,1,1,306,4
FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,PR,Privada,2,2,189,2
INSTITUTO BRASILIENSE DE TECNOLOGIA E CIENCIA,IBTC,DF,Privada,1,0,,
FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS,FAMC,MG,Privada,2,2,357,4
FACULDADE SANTA RITA,FASAR,MG,Privada,10,8,248,3
FACULDADE DE AMAMBAI,FIAMA,MS,Privada,3,2,178,2
FACULDADE EDUCACIONAL DA LAPA,FAEL,PR,Privada,3,2,268,3
FACULDADE ADVENTISTA DE FISIOTERAPIA,FAFIS,BA,Privada,1,1,256,3
FACULDADE DE NATAL,FAL,RN,Privada,4,2,215,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ASSIS,FCCA,SP,Privada,1,1,245,3
FACULDADE FLEMING,SEF,SP,Privada,2,2,187,2
INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,SP,Privada,3,1,142,2
FACULDADE DE CIENCIAS GERENCIAIS,FACIG,SP,Privada,2,1,151,2
INSTITUTO DE ENSINO SUPERIOR DO ACRE,IESACRE,AC,Privada,2,2,255,3
FACULDADE SÃO FRANCISCO DE BARREIRAS - FASB,FASB,BA,Privada,12,7,227,3
FACULDADE DE TECNOLOGIA EMPRESARIAL,FTE,BA,Privada,3,1,297,4
INSTITUTO CENECISTA DE ENSINO SUPERIOR DE SANTO ÂNGELO,IESA,RS,Privada,7,4,253,3
FACULDADE METROPOLITANA,POLIFUCS,BA,Privada,4,0,,
FACULDADE NOSSA SENHORA APARECIDA,FANAP,GO,Privada,3,3,221,3
FACULDADE PADRÃO,PADRAO,GO,Privada,7,5,155,2
FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,PIO XII,ES,Privada,2,2,234,3
FACULDADE DE ADMINISTRAÇÃO DA SERRA,FABAVI,ES,Privada,3,1,129,2
FACULDADE BRASILEIRA,,ES,Privada,10,7,249,3
FACULDADE DE CASTELO,FACASTELO,ES,Privada,3,2,174,2
FACULDADE CANDIDO MENDES DE VITORIA,FCMV,ES,Privada,2,1,137,2
FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN,FACINAN,MS,Privada,1,1,159,2
FACULDADE DE PEDAGOGIA,ANAEC,MS,Privada,1,1,192,2
FACULDADE DE EDUCAÇÃO DE COSTA RICA,FECRA,MS,Privada,4,1,169,2
FACULDADE PROMOVE DE MINAS GERAIS,PROMOVE,MG,Privada,3,3,236,3
FACULDADE METODISTA GRANBERY,FMG,MG,Privada,6,5,258,3
FACULDADE DE ADMINISTRACAO DE ITABIRITO,FAI,MG,Privada,1,1,330,4
FACULDADE BOA VIAGEM,FBV,PE,Privada,10,4,267,3
FACULDADE DOM BOSCO,DOM BOSCO,PR,Privada,1,0,,
"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",FACEL,PR,Privada,4,4,204,3
FACULDADE DE CIÊNCIAS APLICADAS DE CASCAVEL,FACIAP,PR,Privada,11,8,184,2
FACULDADE ADVENTISTA DE EDUCAÇÃO DO NORDESTE,FAENE,BA,Privada,1,1,269,3
FACULDADE BEZERRA DE ARAÚJO,FABA,RJ,Privada,4,4,171,2
FACULDADE NATALENSE PARA O DESENVOLVIMENTO DO RIO GRANDE DO NORTE,FARN,RN,Privada,8,2,264,3
FACULDADES INTEGRADAS URUBUPUNGÁ,FIU,SP,Privada,6,6,216,3
INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANOPOLIS,IESGF,SC,Privada,4,2,217,3
INSTITUTO DE ENSINO SUPERIOR COC,COC,SP,Privada,17,9,285,3
FACULDADE SANT´ANNA DE SALTO,FASAS,SP,Privada,1,1,162,2
FACULDADE CAMPO LIMPO PAULISTA,FACCAMP,SP,Privada,10,6,222,3
FACULDADE DO GUARUJÁ,FAGU,SP,Privada,7,5,206,3
INSTITUTO TAUBATE DE ENSINO SUPERIOR,I.T.E.S.,SP,Privada,2,1,223,3
FACULDADE ADVENTISTA DE EDUCAÇÃO E CIÊNCIAS HUMANAS,,SP,Privada,3,3,237,3
FACULDADE DE ITÁPOLIS - FACITA,FACITA,SP,Privada,3,2,221,3
INSTITUTO DE ENSINO SUPERIOR DE COTIA,IESC,SP,Privada,7,5,176,2
FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,FAIT,SP,Privada,9,3,234,3
INSTITUTO MANCHESTER PAULISTA DE ENSINO SUPERIOR,IMAPES,SP,Privada,5,2,199,3
FACULDADE DE DIREITO DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FAD-FAAP,SP,Privada,1,1,277,3
FACULDADE ALBERT EINSTEIN DE SÃO PAULO,FAESP,SP,Privada,2,2,183,2
FACULDADE DO NORTE PIONEIRO,FANORPI,PR,Privada,6,3,214,3
FACULDADE DAS AMÉRICAS,FAM,SP,Privada,4,1,160,2
FACULDADE MORUMBI SUL,FMS,SP,Privada,3,2,144,2
ESCOLA SUPERIOR DE MARKETING,ESM,PE,Privada,1,1,184,2
FACULDADE DOURADOS,,MS,Privada,3,2,168,2
FACULDADE DE ALAGOAS,FAL,AL,Privada,7,7,215,3
FACULDADES INTEGRADAS DE FERNANDÓPOLIS,FIFE,SP,Privada,23,14,213,3
INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBAC,ITES,SP,Privada,5,4,198,3
INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR,IMMES,SP,Municipal,2,2,255,3
FACULDADE BATISTA BRASILEIRA,FBB,BA,Privada,4,2,264,3
FACULDADES INTEGRADAS DE RIBEIRÃO PIRES,FIRP,SP,Privada,6,5,216,3
"FACULDADE DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP",FIS,MT,Privada,4,3,195,3
FACULDADE DE CIÊNCIAS HUMANAS DE GARÇA,FAHU,SP,Privada,2,1,296,4
FACULDADE NOVO MILÊNIO,FNM,ES,Privada,12,9,198,3
FACULDADE JESUS MARIA JOSÉ,FAJESU,DF,Privada,7,6,220,3
FACULDADE DE AMERICANA,FAM,SP,Privada,17,12,185,2
FACULDADE TREVISAN,TREVISAN,SP,Privada,3,2,321,4
FACULDADES INTEGRADAS DE RONDONÓPOLIS,UNIR-ROO1,MT,Privada,7,3,172,2
FACULDADE BANDEIRANTES DE EDUCAÇÃO SUPERIOR,UNISUZ,SP,Privada,7,7,199,3
INSTITUTO DE ENSINO SUPERIOR JOAO ALFREDO DE ANDRADE,IJAA,MG,Privada,3,2,140,2
FACULDADE DE EDUCAÇÃO DA SERRA,FASE,ES,Privada,3,2,182,2
FACULDADE SUDOESTE PAULISTA,FSP,SP,Privada,9,2,220,3
FACULDADE JUVENCIO TERRA,FJT,BA,Privada,5,1,235,3
FACULDADE TECSOMA,FATEC,MG,Privada,2,2,192,2
FACULDADE EDUVALE DE AVARÉ,EDUVALE,SP,Privada,6,3,202,3
FACULDADE DE APUCARANA,FAP,PR,Privada,11,8,203,3
ESCOLA SUPERIOR DE ENSINO ANÍSIO TEIXEIRA,CESAT,ES,Privada,6,2,201,3
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,ESPM - POA,RS,Privada,3,3,287,3
FACULDADE DE ADMINISTRACAO DE DIADEMA,FAD,SP,Privada,1,1,211,3
FACULDADE COTEMIG,COTEMIG,MG,Privada,1,1,240,3
FACULDADE DE COMUNICACAO SOCIAL DE HORTOLANDIA,FCSH,SP,Privada,2,2,146,2
FACULDADE CECAP DO LAGO NORTE,CECAP,DF,Privada,3,3,187,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS - FACISA,FACISA,PB,Privada,5,5,223,3
INSTITUTO DE ENSINO SUPERIOR THATHI,Faculdade Thathi COC,SP,Privada,2,2,215,3
FACULDADE ASSIS GURGACZ,FAG,PR,Privada,20,17,239,3
FACULDADE MATER DEI,FMD,PR,Privada,4,3,206,3
FACULDADE DE PEDAGOGIA DA SERRA,FABAVI,ES,Privada,1,0,,
FACULDADE INTEGRAÇÃO - ZONA OESTE,FIZO,SP,Privada,10,6,149,2
FACULDADE BATISTA DE MINAS GERAIS,FBMG,MG,Privada,2,1,193,2
FACULDADE DO VALE DO JAGUARIBE,FVJ,CE,Privada,4,1,203,3
INSTITUTO SUPERIOR TUPY - IST,IST,SC,Privada,15,5,224,3
FACULDADE ADVENTISTA DE EDUCAÇÃO FÍSICA,,SP,Privada,1,1,211,3
INSTITUTO DE ENSINO SUPERIOR DE GARCA,IESG,SP,Privada,2,2,188,2
FACULDADES INTEGRADAS DE JAHU,FIJ,SP,Privada,12,8,214,3
FACULDADES INTEGRADAS DE SANTA FÉ DO SUL,FUNEC,SP,Municipal,13,9,194,2
FACULDADE CAPIXABA DE NOVA VENÉCIA,UNIVEN,ES,Privada,3,1,325,4
FACULDADE SÃO GABRIEL,FSG,PI,Privada,3,0,,
FACULDADE UBAENSE OZANAM COELHO,FAGOC,MG,Privada,5,4,210,3
FACULDADE VISCONDE DE CAIRÚ,FAVIC,BA,Privada,4,4,285,3
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,FTC,BA,Privada,11,3,187,2
FACULDADE BARDDAL,FB-SI,SC,Privada,1,1,282,3
FACULDADE DE MIRANDÓPOLIS,FAM,SP,Privada,2,2,157,2
FACULDADE CASA BRANCA,FACAB,SP,Privada,5,2,135,2
FACULDADE DE CIÊNCIAS SOCIAIS DE GUARANTÃ DO NORTE,FCSGN,MT,Privada,2,1,239,3
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,MT,Privada,5,2,205,3
FACULDADES INTEGRADAS SÃO PEDRO,FAESA,ES,Privada,14,11,220,3
FACULDADE MARTHA FALCÃO,FMF,AM,Privada,5,4,205,3
FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS,FAJOLCA,PE,Privada,3,3,153,2
FACULDADE SANTA HELENA,FSH,PE,Privada,3,3,219,3
FACULDADES INTEGRADAS IPEP,FIPEP,SP,Privada,13,9,177,2
ESCOLA SUPERIOR DE ADMINISTRACAO E MARKETING E COMUNICACAO DE CAMPINAS,ESAMC DE CAMPINAS,SP,Privada,2,2,241,3
FACULDADE SUMARÉ,ISES,SP,Privada,8,7,240,3
FACULDADE CASTRO ALVES,FCA,BA,Privada,3,3,213,3
FACULDADE DE CALDAS NOVAS,UNICALDAS,GO,Privada,9,6,145,2
FACULDADE DINÂMICA DAS CATARATAS,UDC,PR,Privada,13,11,229,3
