ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADES OSWALDO CRUZ,FOC,SP,Privada,12,12,200,3
FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,SP,Privada,2,2,168,2
FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP,FEAP,SP,Privada,1,1,234,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU",FAFIP,SP,Privada,2,2,207,3
FACULDADE DE ADMINISTRACAO E CIENCIAS CONTABEIS LUZWELL,LUZWELL,SP,Privada,2,2,146,2
FACULDADES INTEGRADAS CAMPOS SALLES,FICS,SP,Privada,6,5,219,3
FACULDADES INTEGRADAS DE OURINHOS,FIO,SP,Privada,15,7,178,2
FACULDADES INTEGRADAS ESPÍRITO SANTENSES,FAESA I,ES,Privada,9,9,244,3
FACULDADE DE DIREITO DA ALTA PAULISTA,FADAP,SP,Privada,1,1,214,3
FACULDADE FACCAT,FACCAT,SP,Privada,5,3,199,3
FACULDADES ESEFAP,,SP,Privada,2,2,127,2
FACULDADE DE DIREITO DE SOROCABA,FADI,SP,Privada,1,1,257,3
FACULDADES INTEGRADAS SIMONSEN,FIS,RJ,Privada,7,7,200,3
FACULDADES INTEGRADAS HELIO ALONSO,FACHA,RJ,Privada,5,5,213,3
FACULDADE DE MEDICINA DE ITAJUBÁ,FMIt,MG,Privada,2,2,192,2
FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,MG,Privada,1,1,221,3
FACULDADE DE CIÊNCIAS DA SAÚDE DE JOINVILLE,,SC,Privada,2,2,236,3
FACULDADE TRÊS DE MAIO,SETREM,RS,Privada,7,6,240,3
FACULDADE DE JANDAIA DO SUL,FAFIJAN,PR,Privada,6,6,193,2
"FACULDADE DE CIENCIAS ECONOMICAS, ADMINISTRATIVAS E CONTABEIS DE DIVINOPOLIS",FACED,MG,Privada,2,2,171,2
FACULDADE DE MEDICINA DE BARBACENA,FAME,MG,Privada,1,1,203,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE TATUÍ,,SP,Privada,2,0,,
FACULDADE DE DESENHO DE TATUI,FDT,SP,Privada,1,1,164,2
ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUAÇÚ PAULISTA,ESAPP,SP,Privada,2,1,157,2
FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS MACHADO SOBRINHO,FMS,MG,Privada,2,2,240,3
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,CES/JF,MG,Privada,14,10,246,3
FACULDADE SANTA EMÍLIA DE RODAT,FASER,PB,Privada,3,2,213,3
ESCOLA DE ENGENHARIA KENNEDY,EEK,MG,Privada,1,1,132,2
INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,ISCA,SP,Privada,15,8,207,3
FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,MG,Privada,3,3,225,3
FACULDADE EVANGÉLICA DO PARANÁ,FEPAR,PR,Privada,6,4,251,3
ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE MUZAMBINHO,ESEFM,MG,Privada,1,1,197,3
FACULDADE PAULISTA DE SERVIÇO SOCIAL DE SÃO CAETANO DO SUL,FAPSS-SCS,SP,Privada,1,1,263,3
FACULDADE PAULISTA DE SERVIÇO SOCIAL,FAPSS-SP.,SP,Privada,1,1,209,3
FACULDADE MOZARTEUM DE SÃO PAULO,FAMOSP,SP,Privada,3,3,233,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA,FACCO,MG,Privada,1,1,147,2
FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA,FEFISO,SP,Privada,1,1,284,3
FACULDADE PAULISTA DE ARTES,FPA,SP,Privada,3,2,210,3
FACULDADE DE BIBLIOTECONOMIA E CIENCIA DA INFORMAC,FaBCI,SP,Privada,1,1,169,2
ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO,ESP,SP,Privada,1,1,120,2
FACULDADE DE CIÊNCIAS CONTÁBEIS DE LUCÉLIA,Cealpa,SP,Privada,1,1,140,2
FACULDADE RUY BARBOSA DE ADMINISTRACAO E DE DIREITO,FRBA,BA,Privada,2,1,359,4
FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESSAMENTO DE DADOS,FRBTPD,BA,Privada,1,1,262,3
ESCOLA DE ENGENHARIA DE AGRIMENSURA,EEA,BA,Privada,1,1,101,2
FACULDADES INTEGRADAS DA UPIS,UPIS,DF,Privada,12,12,253,3
FOCCA - FACULDADE DE OLINDA,FOCCA,PE,Privada,4,3,219,3
ESCOLA SUPERIOR DE RELACOES PUBLICAS,Esurp,PE,Privada,2,2,178,2
FACULDADE DE CIÊNCIAS HUMANAS ESUDA,FCHE,PE,Privada,5,5,160,2
FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,SP,Privada,3,3,375,4
FACULDADES INTEGRADAS TERESA MARTIN,FATEMA,SP,Privada,9,5,161,2
FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO,FECILCAM,PR,Estadual,8,8,252,3
FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,SP,Estadual,2,2,313,4
FACULDADE PARANAENSE,FACCAR,PR,Privada,5,5,224,3
FACULDADE SANTA MARCELINA,FASM,SP,Privada,5,5,231,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SANTA MARCELINA,FAFISM,MG,Privada,10,9,229,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,FFCL,SP,Privada,7,5,239,3
FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,SP,Privada,4,2,361,4
FACULDADE DE DIREITO DE ITÚ,FADITU,SP,Privada,1,1,168,2
FACULDADE CATOLICA DE CIENCIAS ECONOMICAS DA BAHIA,FACCEBA,BA,Privada,1,1,105,2
FACULDADE CAMAQUENSE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS,FACCCA,RS,Privada,2,2,215,3
FACULDADE DE FORMAÇÃO DE PROFESSORES E ESPECIALISTAS DE EDUCAÇÃO,FAFOPEE,RS,Privada,3,1,146,2
FACULDADE RENASCENÇA,FACRENA,SP,Privada,8,6,198,3
FACULDADE DE ARTES PLÁSTICAS DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FAAP,SP,Privada,2,2,245,3
FACULDADE DE ADMINISTRACAO DA FUNDACAO ARMANDO ALVARES PENTEADO,FAE-FAAP,SP,Privada,1,1,351,4
FACULDADE DE ENGENHARIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FEFAAP,SP,Privada,4,4,195,3
FACULDADE DE COMUNICACAO DA FUNDACAO ARMANDO ALVAR,FACOM-FAAP,SP,Privada,4,4,346,4
FACULDADE DE ECONOMIA DA FUNDACAO ARMANDO ALVARES PENTEADO,FEC-FAAP,SP,Privada,1,1,331,4
